# exclude_classes: ()
# n_per_class: 250
# pattern: *.tif
# seed: 42
# root: data/CRC-VAL-HE-7K
# n_tiles: 2250
row,relpath,label,rank
0,ADI/ADI-TCGA-YCNVRYMY.tif,ADI,0
1,ADI/ADI-TCGA-LYIAPIQD.tif,ADI,1
2,ADI/ADI-TCGA-LMRATQEC.tif,ADI,2
3,ADI/ADI-TCGA-HQPQGVHN.tif,ADI,3
4,ADI/ADI-TCGA-QQNCMGAR.tif,ADI,4
5,ADI/ADI-TCGA-MLVWCCCE.tif,ADI,5
6,ADI/ADI-TCGA-EEHCEWSQ.tif,ADI,6
7,ADI/ADI-TCGA-KADFGGPM.tif,ADI,7
8,ADI/ADI-TCGA-KLCQTLCR.tif,ADI,8
9,ADI/ADI-TCGA-NSSGRKTF.tif,ADI,9
10,ADI/ADI-TCGA-DMLHRFAL.tif,ADI,10
11,ADI/ADI-TCGA-TSIVAYRT.tif,ADI,11
12,ADI/ADI-TCGA-PQKSCCIL.tif,ADI,12
13,ADI/ADI-TCGA-VPIMHTET.tif,ADI,13
14,ADI/ADI-TCGA-CRWTWYNF.tif,ADI,14
15,ADI/ADI-TCGA-YGGKEAYD.tif,ADI,15
16,ADI/ADI-TCGA-KQLTEGTP.tif,ADI,16
17,ADI/ADI-TCGA-TSGVMCSM.tif,ADI,17
18,ADI/ADI-TCGA-GCALAVID.tif,ADI,18
19,ADI/ADI-TCGA-EENSRDNW.tif,ADI,19
20,ADI/ADI-TCGA-VVRIGYYC.tif,ADI,20
21,ADI/ADI-TCGA-SEDRKCPV.tif,ADI,21
22,ADI/ADI-TCGA-SVLEGCRH.tif,ADI,22
23,ADI/ADI-TCGA-FIPMWQHI.tif,ADI,23
24,ADI/ADI-TCGA-PVRWVCDE.tif,ADI,24
25,ADI/ADI-TCGA-WMHQPISV.tif,ADI,25
26,ADI/ADI-TCGA-VWYIPDDF.tif,ADI,26
27,ADI/ADI-TCGA-SWHMEYQN.tif,ADI,27
28,ADI/ADI-TCGA-FWPTFHWL.tif,ADI,28
29,ADI/ADI-TCGA-CYIPDVWA.tif,ADI,29
30,ADI/ADI-TCGA-ARCLHSEW.tif,ADI,30
31,ADI/ADI-TCGA-SCHLGKDS.tif,ADI,31
32,ADI/ADI-TCGA-VGAWTYNH.tif,ADI,32
33,ADI/ADI-TCGA-CWHWCNCI.tif,ADI,33
34,ADI/ADI-TCGA-NLDGDVMF.tif,ADI,34
35,ADI/ADI-TCGA-IKHKWCLV.tif,ADI,35
36,ADI/ADI-TCGA-LDCINVHI.tif,ADI,36
37,ADI/ADI-TCGA-LFKGYHNA.tif,ADI,37
38,ADI/ADI-TCGA-FGMSGLPF.tif,ADI,38
39,ADI/ADI-TCGA-RWKVCAIK.tif,ADI,39
40,ADI/ADI-TCGA-CWSIFRFT.tif,ADI,40
41,ADI/ADI-TCGA-MPRCTWDQ.tif,ADI,41
42,ADI/ADI-TCGA-WVRICRKW.tif,ADI,42
43,ADI/ADI-TCGA-AIEHVMQI.tif,ADI,43
44,ADI/ADI-TCGA-QTVDLTPT.tif,ADI,44
45,ADI/ADI-TCGA-EGKPSLAP.tif,ADI,45
46,ADI/ADI-TCGA-PYSDQKWQ.tif,ADI,46
47,ADI/ADI-TCGA-EYDSDLGH.tif,ADI,47
48,ADI/ADI-TCGA-TAMRGRLG.tif,ADI,48
49,ADI/ADI-TCGA-RGVCGEVD.tif,ADI,49
50,ADI/ADI-TCGA-PQGFIILG.tif,ADI,50
51,ADI/ADI-TCGA-EGKSGPYW.tif,ADI,51
52,ADI/ADI-TCGA-WKLEVCRY.tif,ADI,52
53,ADI/ADI-TCGA-WKESVTRS.tif,ADI,53
54,ADI/ADI-TCGA-KHDPCIIV.tif,ADI,54
55,ADI/ADI-TCGA-VQGLNPEH.tif,ADI,55
56,ADI/ADI-TCGA-TPGKTNIV.tif,ADI,56
57,ADI/ADI-TCGA-KGAHEDSG.tif,ADI,57
58,ADI/ADI-TCGA-HQSERQCV.tif,ADI,58
59,ADI/ADI-TCGA-GIVHEYVM.tif,ADI,59
60,ADI/ADI-TCGA-YSKRTPPL.tif,ADI,60
61,ADI/ADI-TCGA-TCRWSVFD.tif,ADI,61
62,ADI/ADI-TCGA-TILLDFCA.tif,ADI,62
63,ADI/ADI-TCGA-FRGPPLSL.tif,ADI,63
64,ADI/ADI-TCGA-TYMFCNPM.tif,ADI,64
65,ADI/ADI-TCGA-YMRAQSGV.tif,ADI,65
66,ADI/ADI-TCGA-FGRTWEQF.tif,ADI,66
67,ADI/ADI-TCGA-VIYIYIAI.tif,ADI,67
68,ADI/ADI-TCGA-KRTQFFVD.tif,ADI,68
69,ADI/ADI-TCGA-PRCFYLWD.tif,ADI,69
70,ADI/ADI-TCGA-FMWYGHGY.tif,ADI,70
71,ADI/ADI-TCGA-YHSLNETK.tif,ADI,71
72,ADI/ADI-TCGA-QKLLKNKC.tif,ADI,72
73,ADI/ADI-TCGA-GPLMSPGY.tif,ADI,73
74,ADI/ADI-TCGA-TMMHCMEG.tif,ADI,74
75,ADI/ADI-TCGA-FNWSDKWI.tif,ADI,75
76,ADI/ADI-TCGA-RLAILGKL.tif,ADI,76
77,ADI/ADI-TCGA-WICTSLNT.tif,ADI,77
78,ADI/ADI-TCGA-GFKAANLS.tif,ADI,78
79,ADI/ADI-TCGA-PAVVGTQI.tif,ADI,79
